"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C9","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C2,C12","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C3,C7,C8,C13","10nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4",""
"C4,C14","1nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C5,C10","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C6,C11","1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"J1","Power","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J2","Output","~","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","1",""
"J3,J4","GND","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J5,J7","Vastable","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J6,J8","Vmono","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"Ra1,Ra2","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"Ra_adj1","150k","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Ra_adj2,RL1,RL2","100k","~","-- mixed values --","3",""
"Rb1","14440","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"SW1,SW2","SW_Rotary_1x6_MP","~","Button_Switch_THT:SW_NKK_NR01","2",""
"U1,U2","LM555xN","http://www.ti.com/lit/ds/symlink/lm555.pdf","Package_DIP:DIP-8_W7.62mm","2",""
